PartID,Cohort,Timepoint,Hopping_Foot_1,Hopping_Arm_1,Hopping_Leg_1,Hopping_Foot_2,Hopping_Arm_2,Hopping_Leg_2,Hopping_Foot_3,Hopping_Arm_3,Hopping_Leg_3,Hopping_Foot_4,Hopping_Arm_4,Hopping_Leg_4,Kick_Approach_1,Kick_Support Loc_1,Kick_Knee Action_1,Kick_Trunk Action_1,Kick_Arm Action_1,Kick_Follow Through_1,Kick_Approach_2,Kick_Support Loc_2,Kick_Knee Action_2,Kick_Trunk Action_2,Kick_Arm Action_2,Kick_Follow Through_2,Kick_Approach_3,Kick_Support Loc_3,Kick_Knee Action_3,Kick_Trunk Action_3,Kick_Arm Action_3,Kick_Follow Through_3,Kick_Approach_4,Kick_Support Loc_4,Kick_Knee Action_4,Kick_Trunk Action_4,Kick_Arm Action_4,Kick_Follow Through_4,Kick_Approach_5,Kick_Support Loc_5,Kick_Knee Action_5,Kick_Trunk Action_5,Kick_Arm Action_5,Kick_Follow Through_5,Jump_TO_Arm_1,Jump_TO_Leg_1,Jump_LND_Shank_1,Jump_LND_Foot_1,Jump_LND_Arm_1,Jump_TO_Arm_2,Jump_TO_Leg_2,Jump_LND_Shank_2,Jump_LND_Foot_2,Jump_LND_Arm_2,Jump_TO_Arm_3,Jump_TO_Leg_3,Jump_LND_Shank_3,Jump_LND_Foot_3,Jump_LND_Arm_3,Jump_TO_Arm_4,Jump_TO_Leg_4,Jump_LND_Shank_4,Jump_LND_Foot_4,Jump_LND_Arm_4,Jump_TO_Arm_5,Jump_TO_Leg_5,Jump_LND_Shank_5,Jump_LND_Foot_5,Jump_LND_Arm_5,Throw_Step_1,Throw_Trunk_1,Throw_Humerus_1,Throw_Forearm_1,Throw_Step_2,Throw_Trunk_2,Throw_Humerus_2,Throw_Forearm_2,Throw_Step_3,Throw_Trunk_3,Throw_Humerus_3,Throw_Forearm_3,Throw_Step_4,Throw_Trunk_4,Throw_Humerus_4,Throw_Forearm_4,Throw_Step_5,Throw_Trunk_5,Throw_Humerus_5,Throw_Forearm_5
18,C1,T4,L,1,2,L,1,2,R,2,2,R,2,2,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,1,2,1,1,2,1,2,1,2,2,1,2,1,1,2,1,1,1,1,1,3,1,2,2,2,2,1,2,3,2,3,2,3,2,2,2,3,2,1,2,3,2,1,2
18,C1,T5,L,2,2,L,2,2,R,2,2,R,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,3,2,2,2,1,2,3,2,2,2,1,2,2,2,3,2,1,2,1,4,1,2,2,1,4,1,2,1,3,4,2,2,2,1,4,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
19,C1,T1,,,,L,2,2,L,1,2,L,1,1,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,C1,T2,R,2,3,R,2,2,L,1,2,R,1,3,2,2,2,1,2,2,2,3,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,4,2,2,3,2,4,2,1,2,2,4,1,3,3,2,4,2,3,3,2,4,3,3,2,2,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2
19,C1,T3,L,1,2,L,1,2,R,2,3,R,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,2,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,2,2,4,1,1,1,2,4,1,2,1,2,3,1,2,1,2,3,1,1,1,2,4,1,1,1,2,1,1,1,2,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1
19,C1,T4,L,2,2,L,2,2,R,2,3,R,2,3,2,3,2,1,2,3,2,2,2,1,2,3,2,2,2,1,2,3,2,2,2,1,2,3,2,2,2,1,2,3,2,4,2,3,2,2,3,2,3,2,2,3,2,3,2,2,4,2,3,2,2,3,2,3,2,1,2,1,2,3,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2
19,C1,T5,R,4,3,R,4,3,L,2,3,L,2,3,2,2,2,1,2,2,2,3,2,1,2,2,2,2,2,1,2,3,2,2,2,1,2,2,2,3,2,1,2,3,1,4,2,3,2,1,4,2,3,2,1,4,2,3,2,1,4,2,3,3,1,4,2,3,3,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
20,C1,T1,L,1,2,R,1,2,L,3,2,R,2,2,2,3,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,2,1,2,2,1,1,1,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,2,1,1,1,2,2,1,1,2,2,1,1,2,1,1
20,C1,T2,L,2,2,R,2,3,L,2,2,R,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,2,3,4,2,2,2,2,4,2,2,2,1,4,2,2,2,1,4,2,3,2,2,4,2,3,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
20,C1,T3,R,2,3,R,2,3,L,2,2,L,2,2,2,2,2,1,2,3,2,2,2,1,2,3,2,3,2,1,2,3,2,2,2,1,2,3,2,2,2,1,2,3,3,4,2,3,2,3,4,2,3,2,3,4,2,3,2,3,4,1,1,1,3,4,2,1,2,3,2,1,1,3,2,1,1,3,2,1,1,3,2,1,1,3,2,2,2
20,C1,T4,R,2,2,R,2,2,L,2,2,L,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,3,2,2,2,1,2,2,3,4,2,3,2,4,4,2,3,2,4,4,1,2,1,3,4,2,3,2,3,4,2,3,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1
20,C1,T5,R,3,2,R,3,2,L,3,3,L,2,2,2,2,2,1,2,2,2,2,2,1,2,3,2,2,2,1,2,2,2,3,2,1,2,3,2,3,2,1,2,3,4,4,2,3,4,3,4,2,3,2,4,1,2,3,2,4,4,2,3,4,4,4,2,3,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,1
21,C1,T1,,,,,,,,,,R,2,2,2,3,2,1,2,2,2,3,2,1,2,1,2,3,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,C1,T2,R,1,1,L,1,2,R,1,1,L,2,2,2,3,2,1,2,2,3,3,2,2,2,3,3,2,2,2,2,3,2,3,2,1,2,3,2,3,2,1,2,3,3,3,2,3,2,2,3,2,3,2,2,3,2,3,2,2,3,2,3,2,3,3,2,3,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2
21,C1,T3,L,2,2,L,2,2,R,2,2,R,2,2,2,3,2,1,2,3,2,2,2,1,2,3,2,2,2,1,2,3,2,3,2,1,2,3,2,2,2,1,2,3,3,3,2,3,2,1,3,1,2,2,1,3,2,3,2,3,3,2,3,2,1,4,2,3,2,3,2,1,2,3,2,1,1,1,2,1,1,1,2,2,2,3,2,1,1
21,C1,T4,L,2,2,L,2,2,R,2,2,R,2,2,2,3,2,1,2,3,2,2,2,1,2,3,2,2,2,1,2,3,2,2,2,1,2,3,,,,,,,2,3,2,3,1,2,3,2,3,2,2,3,2,3,2,2,4,2,3,2,2,3,2,3,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,2,1,2,1,1
21,C1,T5,R,2,2,R,2,2,L,2,2,L,2,2,2,2,2,1,2,3,2,2,2,1,2,2,2,3,2,1,2,3,2,2,2,1,2,3,2,2,2,1,2,1,3,3,2,3,2,1,3,1,1,2,1,3,2,3,2,1,3,2,3,2,1,1,2,3,2,3,2,2,2,2,1,1,1,1,2,2,2,1,2,2,2,3,2,2,2
22,C1,T1,R,2,2,R,2,2,L,2,2,L,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
22,C1,T2,L,2,2,R,2,2,L,2,2,R,2,2,2,3,2,1,2,2,2,3,2,1,2,3,2,3,2,1,2,2,2,3,2,1,2,1,2,3,2,1,2,2,2,4,2,3,2,2,4,2,3,2,2,4,2,3,2,2,4,2,3,2,3,4,2,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,C1,T3,L,2,2,L,2,2,R,2,2,R,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,1,2,3,2,1,2,1,2,3,2,1,2,1,x,x,2,3,2,1,3,2,2,2,1,3,2,3,2,3,3,2,3,2,1,4,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,C1,T4,L,2,2,L,2,2,R,2,2,R,2,2,2,3,2,1,2,2,2,2,2,1,2,3,2,2,2,1,2,3,2,2,2,1,2,3,2,3,2,1,2,2,1,3,2,3,2,1,4,2,3,2,1,3,2,1,1,1,3,2,3,2,1,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
22,C1,T5,R,3,3,R,2,3,L,2,2,L,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,2,1,3,2,3,2,1,3,2,3,2,1,3,2,3,3,1,3,2,3,3,1,3,2,3,3,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1
23,C1,T1,R,2,2,R,2,2,R,2,2,R,2,2,2,3,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,2,,,,,,,,,,,,,2,4,1,2,2,2,4,2,2,2,2,4,2,2,2,2,4,2,2,2,2,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
23,C1,T2,R,2,2,L,2,2,R,2,2,L,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,4,2,2,2,2,4,2,2,2,1,4,2,2,2,2,4,2,2,2,2,4,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1
23,C1,T3,R,2,2,R,2,2,L,2,2,L,2,2,2,3,2,1,2,3,2,2,2,1,2,3,2,2,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,2,2,4,2,2,2,1,4,2,3,2,1,4,2,3,2,1,4,2,3,2,1,4,2,3,2,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1
23,C1,T4,R,3,3,R,2,2,,,,L,2,2,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,3,4,2,3,2,3,4,2,3,2,3,4,2,3,2,3,4,2,3,2,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1
23,C1,T5,R,3,2,R,3,2,L,2,2,L,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,3,4,2,2,4,4,4,2,3,3,4,4,2,3,3,4,4,2,3,2,4,4,2,3,3,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,2,2
24,C1,T1,R,1,2,R,1,1,L,1,1,L,1,1,2,3,2,1,2,2,2,3,2,1,2,3,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,3,2,2,2,3,2,2,2,,,,,,,,
24,C1,T2,L,3,2,R,1,2,L,3,2,R,1,2,2,2,2,1,2,3,2,3,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,3,2,1,2,1,2,4,2,2,2,2,4,2,2,2,3,2,1,2,2,3,3,2,3,2,3,4,2,1,2,3,2,2,1,3,2,2,1,3,2,2,1,3,2,2,1,3,2,2,1
24,C1,T3,L,1,1,L,1,1,R,1,1,R,1,1,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,4,2,3,2,2,4,2,3,2,1,4,1,1,1,2,4,1,1,1,3,4,1,1,1,3,2,2,2,1,2,2,2,1,2,2,2,3,2,2,2,3,2,2,2
24,C1,T4,L,1,2,L,1,2,R,1,2,R,1,2,2,2,2,1,2,3,2,2,2,1,2,3,2,2,2,1,2,3,2,2,2,1,2,3,2,3,2,1,2,3,3,4,2,3,2,2,3,2,2,2,2,1,2,3,2,2,4,2,2,2,2,1,2,2,2,3,2,2,2,3,2,2,2,3,2,1,2,3,2,2,2,3,2,2,2
24,C1,T5,L,4,3,L,4,3,R,1,2,R,1,2,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,4,1,2,3,3,4,2,3,3,3,4,2,3,2,2,3,2,3,3,2,3,2,3,3,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2
25,C1,T1,,,,,,,,,,,,,2,2,2,1,2,3,2,2,2,1,2,2,2,3,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,2,3,2,2,2,3,2,2,2,,,,,,,,
25,C1,T1,R,2,2,R,2,2,R,2,2,R,1,2,2,2,2,1,2,3,2,2,2,1,2,2,2,3,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,2,3,2,2,2,3,2,2,2,,,,,,,,
25,C1,T2,,,,,,,,,,,,,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,1,2,3,2,1,2,2,2,2,2,1,2,3,1,x,2,3,2,1,x,1,3,2,1,x,2,3,2,1,x,1,1,1,1,x,1,1,1,3,2,2,2,2,2,2,2,3,2,1,2,2,2,1,2,3,2,1,2
25,C1,T2,R,2,2,,,,L,1,2,R,1,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,1,2,3,2,1,2,2,2,2,2,1,2,3,1,x,2,3,2,1,x,1,3,2,1,x,2,3,2,1,x,1,1,1,1,x,1,1,1,3,2,2,2,2,2,2,2,3,2,1,2,2,2,1,2,3,2,1,2
25,C1,T3,,,,,,,,,,,,,3,3,2,2,2,2,3,3,2,2,2,2,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,1,2,2,1,3,2,3,2,2,4,2,3,2,1,3,2,3,2,1,3,2,2,2,1,3,2,3,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2
25,C1,T3,L,2,2,L,1,2,R,1,2,L,1,2,3,3,2,2,2,2,3,3,2,2,2,2,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,1,2,2,1,3,2,3,2,2,4,2,3,2,1,3,2,3,2,1,3,2,2,2,1,3,2,3,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2
25,C1,T4,,,,,,,,,,,,,2,2,2,2,1,3,2,2,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,3,4,2,3,2,1,4,2,1,1,1,4,2,3,2,3,4,2,3,2,1,4,2,3,2,2,2,2,2,3,2,1,1,3,2,2,2,3,2,2,2,3,2,2,2
25,C1,T4,R,2,2,R,2,2,L,2,2,L,2,2,2,2,2,2,1,3,2,2,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,3,4,2,3,2,1,4,2,1,1,1,4,2,3,2,3,4,2,3,2,1,4,2,3,2,2,2,2,2,3,2,1,1,3,2,2,2,3,2,2,2,3,2,2,2
25,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,C1,T1,,,,R,1,1,L,1,1,L,1,1,2,3,2,1,1,1,2,3,2,1,1,1,2,3,2,1,2,2,,,,,,,,,,,,,1,3,1,2,1,1,3,2,3,2,1,3,2,2,2,2,3,1,2,2,2,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
26,C1,T2,R,1,1,L,1,1,R,1,1,L,1,1,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,1,2,2,2,1,2,1,2,3,2,1,2,1,1,3,1,1,2,1,3,1,1,1,1,3,1,1,1,1,3,1,1,1,1,3,2,2,2,3,2,1,1,3,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1
26,C1,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,C1,T1,R,2,2,L,2,2,R,2,2,R,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2
27,C1,T2,L,4,3,R,2,2,L,2,2,R,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,4,1,2,2,1,1,2,1,3,3,4,2,1,1,2,3,2,3,4,2,4,2,3,2,3,2,3,2,3,2,1,1,3,2,1,1,3,2,1,2,3,2,1,1
27,C1,T3,,,,,,,,,,,,,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,1,2,3,2,1,2,2,2,3,2,1,2,2,2,4,2,3,2,2,4,2,3,2,2,4,2,1,2,2,4,2,2,2,2,4,2,3,2,1,2,2,2,1,2,2,2,1,2,2,2,3,2,2,2,3,2,2,2
27,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,C1,T1,,,,,,,,,,,,,2,3,2,1,2,2,2,3,2,1,2,2,2,2,2,1,2,3,2,2,2,1,2,2,2,3,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,C1,T2,R,1,1,L,1,1,R,1,1,L,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,3,2,2,2,1,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,C1,T3,R,1,2,R,1,2,,,,,,,2,2,2,1,2,3,2,2,2,1,2,3,2,2,2,1,2,3,2,2,2,1,2,3,2,2,2,1,2,3,1,3,1,2,2,1,3,1,1,2,1,4,1,2,2,2,4,2,2,2,1,3,1,2,2,1,1,1,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1
28,C1,T4,R,1,2,R,1,2,,,,,,,2,2,2,1,2,3,2,2,2,1,2,3,2,3,2,1,2,3,2,2,2,1,2,2,,,,,,,3,3,2,3,2,1,3,2,3,2,3,3,2,3,2,1,3,2,3,1,2,3,2,3,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1
28,C1,T5,,,,,,,R,1,1,R,2,2,2,3,2,1,2,1,2,3,2,1,2,1,2,3,2,1,2,3,2,2,2,1,2,2,2,3,2,1,2,3,1,3,2,3,1,3,3,2,3,1,3,3,2,3,1,3,3,2,3,1,3,3,2,3,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,2,1,2
29,C1,T1,R,1,1,R,1,1,R,1,1,R,1,1,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,C1,T2,R,1,1,L,1,1,,,,,,,2,3,2,1,2,2,2,2,2,1,2,1,2,3,2,1,2,1,2,3,2,1,2,1,2,3,2,1,2,2,1,4,1,2,1,1,4,1,1,1,1,4,1,2,1,1,4,2,2,1,1,4,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,2,1,1,1
29,C1,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,C1,T1,R,1,1,R,1,1,R,1,1,L,1,1,2,2,3,1,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1
30,C1,T2,R,1,1,L,1,1,R,1,1,L,1,1,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,1,2,3,2,1,2,2,2,4,1,2,2,2,4,1,2,2,2,3,2,2,2,3,4,2,3,2,3,4,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,C1,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,C1,T1,L,1,1,R,1,1,L,1,1,R,1,1,2,2,3,1,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,2,3,2,3,2,3,2,2,2,3,2,3,2,3,2,3,2
31,C1,T2,R,1,2,L,4,3,R,1,2,L,4,3,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,4,2,3,2,3,4,2,2,2,2,4,2,3,2,3,4,2,3,2,3,4,2,3,2,3,2,3,3,3,2,3,2,3,2,3,2,3,2,3,3,3,2,3,3
31,C1,T3,L,4,3,L,4,3,R,2,2,R,2,2,2,2,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,3,4,2,3,2,3,4,2,3,2,3,4,2,3,2,3,4,2,3,2,3,4,1,2,2,3,2,3,2,3,2,3,2,3,2,1,2,3,2,3,3,3,2,3,2
31,C1,T4,R,2,2,R,2,4,L,2,3,L,4,4,2,2,2,1,2,2,2,3,3,1,2,2,2,3,3,1,2,2,2,2,2,1,2,3,2,3,3,1,2,2,3,4,2,3,2,3,4,2,3,2,3,4,1,2,1,3,4,2,3,2,3,4,2,3,2,3,2,2,2,3,2,3,2,3,2,3,2,3,2,2,2,3,2,3,2
31,C1,T5,L,4,4,L,4,4,R,2,2,R,4,3,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,4,2,3,2,3,4,2,3,3,3,4,2,3,3,3,4,1,2,2,3,4,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,2,2,3,2,3,2
32,C1,T1,,,,,,,,,,,,,2,2,3,1,2,2,1,1,1,1,1,1,2,3,2,1,2,2,2,3,2,1,1,1,2,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1
32,C1,T2,R,1,1,,,,R,1,1,L,1,1,2,3,2,1,2,1,2,3,1,2,2,1,2,3,1,2,2,2,2,3,2,1,2,2,2,3,2,1,2,2,1,3,1,2,1,1,3,1,2,1,1,3,1,1,1,1,4,2,3,1,1,3,2,3,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1
32,C1,T3,R,1,2,R,1,2,,,,,,,2,2,2,1,2,2,2,3,2,1,2,1,2,3,2,1,2,2,2,3,2,1,2,1,2,3,2,1,2,1,1,3,2,2,1,1,3,2,2,1,1,3,2,2,1,1,3,2,2,1,1,3,2,1,1,2,1,1,1,2,1,2,2,2,1,1,2,2,1,1,1,2,1,1,1
32,C1,T4,R,1,1,R,1,1,R,1,2,,,,2,2,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,2,1,3,2,3,1,1,3,2,3,1,1,3,2,3,1,1,1,1,1,1,2,3,2,2,1,3,2,1,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2
32,C1,T5, R,2,2,R,2,2,L,1,2,L,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,4,2,3,1,1,3,2,3,1,2,3,1,2,3,1,3,2,3,1,1,3,2,3,1,2,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,2,1,2
33,C1,T1,L,2,2,R,2,2,L,2,2,R,2,2,2,2,2,1,2,3,2,2,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2
33,C1,T2,R,2,2,L,2,2,R,2,2,,,,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2,1,2,2,4,4,2,2,2,3,4,1,2,2,3,3,2,3,2,4,4,2,3,2,3,4,2,3,2,3,2,2,2,3,2,2,2,3,2,1,2,3,2,3,2,3,2,1,2
33,C1,T3,L,2,2,L,2,2,R,2,2,R,1,2,2,3,2,1,2,3,2,2,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,3,2,4,2,3,2,2,4,2,3,2,3,4,2,3,2,3,4,2,3,2,3,4,2,3,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2
33,C1,T4,R,2,2,R,2,2,L,2,2,L,2,2,2,2,2,1,2,3,2,2,2,1,2,3,2,3,2,1,2,3,2,2,2,1,2,3,2,2,2,1,2,3,3,4,2,3,4,3,3,2,3,2,3,4,2,3,2,3,4,2,3,2,3,4,2,3,2,3,2,2,2,3,2,2,2,3,2,2,1,3,2,2,2,3,2,2,2
